bus_id,route,stop,hour,crowd
BUS0,201,BTM,9,High
BUS1,201,Indiranagar,12,Low
BUS2,401K,BTM,14,Low
BUS3,600F,Indiranagar,6,Medium
BUS4,401K,BTM,3,Medium
BUS5,401K,BTM,8,High
BUS6,600F,Electronic City,19,High
BUS7,500A,Majestic,14,Low
BUS8,401K,Majestic,22,Medium
BUS9,300C,Majestic,10,High
BUS10,201,BTM,13,Low
BUS11,500A,Whitefield,6,Medium
BUS12,300C,Electronic City,1,Medium
BUS13,600F,Indiranagar,15,Low
BUS14,500A,Whitefield,18,High
BUS15,500A,Whitefield,14,Low
BUS16,600F,Indiranagar,20,High
BUS17,401K,Electronic City,15,Low
BUS18,600F,Whitefield,9,High
BUS19,600F,BTM,19,High
BUS20,300C,Whitefield,18,High
BUS21,300C,Whitefield,22,Medium
BUS22,300C,Whitefield,17,High
BUS23,600F,Electronic City,5,Medium
BUS24,401K,BTM,9,High
BUS25,401K,Majestic,10,High
BUS26,500A,Electronic City,23,Medium
BUS27,401K,Majestic,0,Medium
BUS28,600F,Indiranagar,22,Medium
BUS29,401K,Whitefield,8,High
BUS30,201,Whitefield,1,Medium
BUS31,300C,Electronic City,21,Medium
BUS32,500A,Indiranagar,3,Medium
BUS33,600F,Indiranagar,13,Low
BUS34,300C,Majestic,3,Medium
BUS35,300C,BTM,1,Medium
BUS36,600F,Majestic,11,Low
BUS37,401K,Indiranagar,8,High
BUS38,300C,Majestic,0,Medium
BUS39,300C,Whitefield,3,Medium
BUS40,401K,Indiranagar,10,High
BUS41,300C,Whitefield,13,Low
BUS42,401K,Majestic,20,High
BUS43,300C,Whitefield,18,High
BUS44,300C,Majestic,22,Medium
BUS45,500A,Whitefield,3,Medium
BUS46,600F,Electronic City,13,Low
BUS47,500A,BTM,4,Medium
BUS48,201,Majestic,14,Low
BUS49,401K,Whitefield,6,Medium
BUS50,300C,BTM,9,High
BUS51,600F,BTM,11,Low
BUS52,600F,Majestic,14,Low
BUS53,401K,BTM,19,High
BUS54,600F,BTM,23,Medium
BUS55,500A,Majestic,14,Low
BUS56,401K,Majestic,15,Low
BUS57,401K,Majestic,21,Medium
