bus_id,route_id,route_name,stop_id,stop_name,hour,crowd
BUS0,2ng,354-C,5c3,Sapthagiri Hospital,1,Medium
BUS1,17,345 KMT-JAPC,1oi,Ashrama Ramohalli,0,Medium
BUS2,2rm,KBS-5H SNBSTTMC-KGP,5g3,Nagadevanahalli,8,High
BUS3,293,245-HA D35G-NMG,6ch,Devagere,8,High
BUS4,8f,GGS-1,4ll,Kavala Hosahalli,17,High
BUS5,8m,304-N,bh,Linganahalli,15,Low
BUS6,2k1,251-M,5en,Agrahara Layout Cross,4,Medium
BUS7,1oc,TEPL-1,463,Mulkattamma Temple Mallohalli,17,High
BUS8,23y,201,1ao,Kanivemadhapura Cross,21,Medium
BUS9,1yp,365-W,408,Nagayyana Doddy,19,High
BUS10,12x,KBS-KMT-GAT,4pm,JC Nagara,0,Medium
BUS11,2i,12-B,1uq,Makanahalli,5,Medium
BUS12,nv,VLS--3,4fn,Dodda Thoguru,2,Medium
BUS13,2qr,49 PPLO-BNR,2it,CS-Anchepalya,6,Medium
BUS14,ke,290-EB SBS-VRP,2oo,Bommanabande,2,Medium
BUS15,3n,CHAKRA-16A,1jo,Kannuru Junction,5,Medium
BUS16,jb,VNS-23,55v,Ayyappa Nagara  Sadaramangala,4,Medium
BUS17,239,316-E,57r,Sondekoppa Circle,5,Medium
BUS18,m5,ADMC-KRPGH,2or,Whispering Meadows Patelappa Layout,17,High
BUS19,1di,290-E STJHS-YHKOT,68r,Bhuvaneshwari Nagara Mahalakshmi Temple,15,Low
BUS20,14h,228-H TPR-KMT-KBS,2yc,Vagdevi Vilas School,13,Low
BUS21,yd,KLN-DAMC,1yd,Jakkur 18th Cross,5,Medium
BUS22,13n,KLN-GNP,41r,BEML Layout 5th stage,8,High
BUS23,1cr,HAL PV-17,1yb,Yalachenahalli Metro Station,11,Low
BUS24,24r,VNS-21,2ms,Jalahalli West Shettyhalli Road,7,Medium
BUS25,3w,293-R,50d,Vannarapet,21,Medium
BUS26,1gm,80-F,x9,Podu Cross,4,Medium
BUS27,lp,500-A PPLO-HBLB,46t,Lurdubayi Samudaya Bhavana,23,Medium
BUS28,14y,Oasis-1B,3nc,BPL,2,Medium
BUS29,1lp,356 ANK-D38G,29,Akkithimmanahalli 1,12,Low
BUS30,16m,288-H KBS-AGS-TDL,2nc,Manjunatha Nagara,3,Medium
BUS31,2jv,243-L,3rb,Bandi Reddy Circle,15,Low
BUS32,1fq,255-B NLM-BELT,9,Channammanakere Achukattu,12,Low
BUS33,24i,KRMTTMC-GDML,4d,Sathanur Colony,6,Medium
BUS34,13l,210-WA,tw,Suradenapura Cross,3,Medium
