route_long_name,route_short_name,agency_id,route_type,route_id
11th Block Anjanapura ⇔ Vidhana Soudha,215-NE ANP11-KMT-VSD,1,3,1ba
11th Block Anjanapura ⇔ Vidhana Soudha,215-NE ANP11-MNRV-VSD,1,3,1p6
1st Block Vishweshwaraiah Layout ⇔ Kengeri Bus Station,VLO1-KGR,1,3,2a3
2nd stage Kuvempunagara ⇔ Jalahalli East,2KVP-JHE,1,3,1fx
5th Phase Yelahanka New Town ⇔ Hosakote Bus Stand (Old),289-LA YSTF-HSK,1,3,du
5th Phase Yelahanka New Town ⇔ Krishnaraja Pura Govt Hospital,507-D,1,3,2hd
80 feet Road Kalyananagara ⇔ Shivajinagara Bus Station,302 KLN-SBS,1,3,1ij
8th Mile Dasarahalli ⇔ 8th Mile Dasarahalli,BC-7C,1,3,2lc
8th Mile Dasarahalli ⇔ 8th Mile Dasarahalli,BC-7CA,1,3,21j
8th Mile Dasarahalli ⇔ Byadarahalli,BC-7B,1,3,1vm
8th Mile Dasarahalli ⇔ Depot-31 Gate,8THM-D315,1,3,2bj
8th Mile Dasarahalli ⇔ Gangondanahalli,BC-7E,1,3,7x
8th Mile Dasarahalli ⇔ Herohalli Cross,BC-7H,1,3,5m
8th Mile Dasarahalli ⇔ KR Market (Kalasipalya),BC-7B 8thM-KMT,1,3,kv
8th Mile Dasarahalli ⇔ Kachohalli Gate,BC-7K,1,3,2qd
8th Mile Dasarahalli ⇔ Suvarna Nagara,MF-25A,1,3,2bu
8th Mile Dasarahalli ⇔ Thippennahalli,MF-25,1,3,12m
9th Block Jayanagara (40th Cross) ⇔ Nagarabhavi Circle,60A-MDP-NBC,1,3,wu
9th Block Jayanagara (40th Cross) ⇔ Panchasheela Nagara,237-J,1,3,1h9
ADMC Quarters Office ⇔ Krishnaraja Pura Govt Hospital,ADMC-KRPGH,1,3,m5
AECS Layout Singasandra ⇔ Central Silk Board,347-K CSB-AECSLS,1,3,1zz
AECS Layout Singasandra ⇔ KR Market (Kalasipalya),347-K,1,3,1xa
AECS Layout Singasandra ⇔ Kempegowda Bus Station,347-N,1,3,2ci
AGS Layout Cross ⇔ Kempegowda Bus Station,45-G AGSLC-KBS,1,3,1y5
ARMY PUBLIC SCHOOL (Parachute Regiment) ⇔ Hebbala,ARMY-HBL,1,3,3p
ARMY Public School ASC Center ⇔ Beguru,201 ARMYASC-BGR,1,3,1nh
ARMY Public School ASC Center ⇔ Sarjapura,G-2 ARMYASC-SJP,1,3,65
Abbigere ⇔ Peenya 2nd stage,401-AK ABG-PSS,1,3,69
Adishwara Bombay Dying ⇔ Yelahanka Old Town,401 ABDYNG-YHK,1,3,8o
Aerospace Bagalur ⇔ Hebbala Bridge,283-B ARS-HBL,1,3,2e4
Agara Junction ⇔ Agara Junction,HSR FDR-1,1,3,23w
Agara Junction ⇔ Agara Junction,HSR FDR-1A,1,3,1sx
Agrahara Layout ⇔ KR Market,291-JA,1,3,e3
Agrahara Layout ⇔ Kempegowda Bus Station,280-A AGLO-KBS,1,3,8v
Agrahara Layout ⇔ Shivajinagara Bus Station,290-F,1,3,1xv
Ajmeer Apartment Neeladri Road ⇔ Anekal,600CA ELC A-ANK,1,3,2w7
Allalasandra ⇔ Kempegowda Bus Station,284-E ALS-KBS,1,3,1ys
Allalasandra ⇔ Puttenahalli,ALS-PTH,1,3,2jw
Alphine Apartment ⇔ Shivajinagara Bus Station,ALP-SBS,1,3,3j
Aluru BDA 2nd Stage ⇔ Kempegowda Bus Station,255-AE ALRB2-VSD-KBS,1,3,1xw
Anekal ⇔ Bannerughatta Circle,365-Z,1,3,2q6
Anekal ⇔ Chikka Thirupathi,399-C,1,3,151
Anekal ⇔ Chinnaiahnapalya,366-Z ANK-CNP,1,3,1nz
Anekal ⇔ Depot-38 Gate,356 ANK-D38G,1,3,1lp
Anekal ⇔ Dommasandra,399-D ANK-DMS,1,3,2j9
Anekal ⇔ Jigani APC Circle,356-M ANK-JGNAPC,1,3,hi
Anekal ⇔ Menashiganahalli,356-Z ANK-MSH,1,3,1vo
Anekal ⇔ Sarjapura,3F-1,1,3,co
Anekal ⇔ Sarjapura,3F-5,1,3,1s2
Anjanamurthy ⇔ KR Market,AJM-KMT,1,3,2ch
Anjanapura 10 Block ⇔ Electronic City,378-E D44G-ELC,1,3,2d9
Anjanapura 10th Block ⇔ Gottigehalli,214-G D44-SMH-GTH,1,3,1y6
Anjanapura 10th Block ⇔ Jayanagara Metro Station Arrival,215-CA D44-JNMS,1,3,1bc
Anjanapura 10th Block ⇔ Nagegowdanapalya,212-C D44-NGP,1,3,rb
Anjanapura 10th Block ⇔ Shanthinagara Bus Station,CALLBUS-02 ANP-SNBS,1,3,2y8
Anjanapura 10th Block ⇔ Tulasipura,D44-TLSP,1,3,pq
Annapoorneshwarinagara ⇔ GKVK,502-E ANPN-GKVK,1,3,24h
Annapoorneshwarinagara ⇔ Kempegowda Bus Station,MBS-12 ANP-VSD-KBS,1,3,2ov
Anugraha Badavane (Bilekahalli) ⇔ Banashankari Bus Station,25-B AGL-BSK-DOWN,1,3,1w9
Anugraha Badavane (Bilekahalli) ⇔ Kempegowda Bus Station,25-B,1,3,2wr
Anugraha Badavane (Bilekahalli) ⇔ Vidhana Soudha Karnataka High Court,25-B AGL-VSD,1,3,2wd
Army Public School Kamaraja Road ⇔ KR Market,315 ARMY-KMT,1,3,1iz
Army Public School Kamaraja Road ⇔ KR Pura Market,APS-KRP,1,3,p2
Army Public School Kamaraja Road ⇔ Kempegowda Bus Station,ARMY-SBS-KBS,1,3,2jo
Army Public School Kamaraja Road ⇔ Kodigehalli Gate,287-A ARMY-KDHG,1,3,e1
Army Public School Kamaraja Road ⇔ Krishnaraja Pura Govt Hospital,300-E ARMY-SBS-KRPGH,1,3,144
Army Public School Kamaraja Road ⇔ Mayohall,APS-MYH,1,3,28b
Army Public School Kamaraja Road ⇔ Neelasandra Rose Garden,144-G ARMPS-NRG,1,3,5y
Army Public School Kamaraja Road ⇔ Sir M Vishweshwaraiah Railway Station,ARMPS-SMVRS,1,3,11y
Army Public School Kamaraja Road ⇔ Yelahanka Old Town,290-E ARMY-SBS-YHKOT,1,3,1kw
Ashoka Pillar ⇔ Pramod Layout,43-H ASP-PLO,1,3,2az
Aspire bee School ⇔ Kadugodi Bus Station,399 ABS-DMSC-KDG,1,3,od
Attibele Bus Stand ⇔ Anekal,399-G,1,3,2a2
Attibele Bus Stand ⇔ Aspire bee School,328-H ATB-SJP-ABS,1,3,1i3
Attibele Bus Stand ⇔ Bommasandra Canara Bank,360-B ATB-BOMC,1,3,2a7
Attibele Bus Stand ⇔ Daadinayakana Doddy,323-DN,1,3,yg
Attibele Bus Stand ⇔ Depot-27 Gate,399-F ATB-D27G,1,3,14e
