stop_name,stop_id,stop_lat,stop_lon
(Theneyuru)I Basapura Gate,168,13.22602,77.83624
10th Cross Magadi Road,58n,12.97574,77.55706
10th Cross Magadi Road,zp,12.97556,77.55562
10th Stone NICE Road,17,12.87273,77.4986
10th Stone NICE Road,cm,12.87242,77.49865
11th Block Anjanapura,5lp,12.85225,77.57235
11th Block Anjanapura,n1,12.85224,77.57265
12th Block Nagarabhavi,4b6,12.96018,77.51398
12th Block Nagarabhavi,ur,12.96076,77.51351
12th Main 7th Cross BTM Layout,169,12.91385,77.61022
13th Main 7th Cross BTM Layout,m8,12.91405,77.61007
14th Main HSR Layout,1zx,12.91637,77.63472
14th Main HSR Layout,3dz,12.91619,77.63521
16th Main Hopcoms BTM Layout,3f9,12.91971,77.61036
18th Main Jayanagara,44o,12.92343,77.58964
18th Main Jayanagara,jk,12.92328,77.58898
19th Main 13th Cross HSR Layout,2b6,12.91582,77.65175
19th Main 13th Cross HSR Layout,2dy,12.91593,77.65176
1st Block Rajajinagara,21d,13.0047,77.54909
1st Block Rajajinagara,454,13.00515,77.54887
1st Block Rajajinagara,58h,13.00592,77.54867
1st Block Vidyaranyapura,3wk,13.07023,77.55539
1st Block Vidyaranyapura,483,13.07021,77.5555
1st Block Vishweshwaraiah Layout,1uw,12.93747,77.47876
1st Block Vishweshwaraiah Layout,460,12.93752,77.4789
1st Cross Magadi Road,4um,12.97569,77.563
1st Cross Magadi Road,57a,12.97569,77.5628
1st Main Kodichikkanahalli,4nl,12.89847,77.6155
1st Stage 3rd Block Nagarabhavi,6ay,12.9533,77.52158
1st Stage 3rd Block Nagarabhavi (Nayandahalli),1wy,12.95302,77.52026
1st Stage 3rd Block Nagarabhavi (Summanahalli),qm,12.95286,77.52017
1st Stage HBR Layout,1rs,13.02116,77.6263
2nd Stage  H B R Layout (2nd Cross),37v,13.03172,77.61208
2nd Stage 11th Block Nagarabhavi,2k1,12.97758,77.51336
2nd Stage 11th Block Nagarabhavi,5qn,12.97754,77.51333
2nd Stage 9th Block Nagarabhavi,3f0,12.96864,77.51027
2nd Stage H B R Layout (1st Main),147,13.02881,77.61556
2nd Stage Kanteeravanagara,29f,13.01505,77.53901
2nd stage Kuvempunagara,35t,13.07313,77.54132
2nd stage Kuvempunagara,9o,13.07306,77.54142
3rd Block Jayanagara,2rr,12.9318,77.58392
3rd Block Jayanagara,4ak,12.93349,77.58396
3rd Block Jn Banashankari 6th Phase,18c,12.87818,77.51651
3rd Block Jn Banashankari 6th Phase,35y,12.87821,77.51657
3rd Block Vidyaranyapura,421,13.07223,77.55637
3rd Block Vidyaranyapura,tr,13.07237,77.55647
3rd Main Road Annapoorneshwarinagara,1a,12.97816,77.50434
3rd Main Road Annapoorneshwarinagara,49x,12.97811,77.50446
3rd Stage Basaveshwaranagara,5pk,12.98912,77.54249
3rd Stage Basaveshwaranagara,6cb,12.98898,77.54254
4th Block HBR Layout,1nb,13.03437,77.63268
4th Block HBR Layout,62,13.03435,77.63264
4th Phase Yalahanka New Town Iyengar Bakery,f5,13.1042,77.56999
4th Stone NICE Road,2c0,13.009,77.47509
4th T Block Jayanagara,295,12.92307,77.59353
4th T Block Jayanagara,37k,12.92308,77.59345
5th Block HBR Layout,58g,13.03582,77.6315
5th Block HBR Layout,zz,13.03585,77.63142
5th Block Jayanagara,cy,12.91732,77.58368
5th Block Jayanagara,f6,12.91722,77.58356
5th Block Vishweshwaraiah Layout,47w,12.95838,77.4816
5th Cross Magadi Road,2ex,12.97578,77.56071
5th Cross Magadi Road,s6,12.97567,77.56081
5th Cross Sriramapura,5rt,12.99214,77.56647
5th Phase Yelahanka New Town,1qo,13.10575,77.57251
5th Stone NICE Road,5dw,12.97116,77.47145
6th Block Rajajinagara,37x,12.97953,77.55377
6th Block Rajajinagara,j5,12.97944,77.55359
7th Cross Srirampura,lh,12.99051,77.56787
7th Cross Wilson Garden,1vi,12.94699,77.59436
7th Cross Wilson Garden,qz,12.94684,77.59465
80 feet Road Kalyananagara,4df,13.02564,77.6406
80 feet Road Kalyananagara,60y,13.02546,77.64042
80ft Road Banasawadi,5ss,13.01511,77.64267
80ft Road Banasawadi,q6,13.01538,77.6429
80ft Road HRBR Layout,2gy,13.02095,77.64317
80ft Road HRBR Layout,2q6,13.02035,77.64328
80ft Road MS Ramaiah College,xe,13.02752,77.57571
8th Main 3rd Cross  Junction,55o,13.02248,77.63714
8th Main 3rd Cross  Junction,5hf,13.02254,77.63723
8th Main Kamalanagara,1al,12.99178,77.53856
8th Main Kamalanagara,1v0,12.99163,77.53839
8th Mile Dasarahalli,31g,13.04571,77.50753
8th Mile Dasarahalli,3k4,13.0451,77.50748
8th Mile Dasarahalli,5kz,13.04622,77.50755
8th Mile Dasarahalli,5r0,13.04541,77.50795
8th Mile Dasarahalli,5rs,13.04544,77.50547
8th Mile Dasarahalli,6dh,13.04547,77.50553
9th Block Jayanagara,2sm,12.91964,77.5928
9th Block Jayanagara (40th Cross),2vi,12.91969,77.59247
9th Stone NICE Road,49b,12.88789,77.48532
A G Export Garments Nelamangala,51y,13.12046,77.39237
A G Export Garments Nelamangala,5tb,13.12048,77.39242
A P J Abdul Kalam Statue,1h4,12.97977,77.65418
A P J Abdul Kalam Statue,3cw,12.97972,77.65404
ADMC Quarters Office,1fk,13.00438,77.64131
AECS Dental College,1h3,12.86534,77.59831
AECS Dental College,4a8,12.86541,77.59832
AECS Layout Cross,1ci,12.96495,77.71832
AECS Layout Cross,4sk,12.96511,77.71827
AECS Layout Singasandra,3cv,12.88286,77.65018
AECS Layout Singasandra,64y,12.88306,77.64991
AGS Layout,4m6,12.95173,77.47919
AGS Layout,5cl,12.95163,77.47921
AGS Layout Arehalli,4ec,12.91252,77.53704
AGS Layout Arehalli,4i9,12.91244,77.53703
AGS Layout Cross,32p,12.91347,77.54088
AGS Layout Cross,4ja,12.91353,77.54088
AIR FORCE Quarters,2br,13.05895,77.52139
AIR FORCE Quarters,46u,13.05899,77.52141
AL Ameen Residential School,59i,13.06983,77.80832
AL-Agro Factory,47e,12.98697,77.88059
AMC College,3mx,12.82933,77.58759
AMC College,5fe,12.83007,77.5878
APCO Factory,3wi,12.76195,77.47044
APMC Yard,3ki,13.10488,77.44388
APMC Yard,573,13.10494,77.44396
APS College,314,12.78276,77.49966
APS College,31v,12.78266,77.49952
ARMY PUBLIC SCHOOL (Parachute Regiment),64r,13.01651,77.58615
ARMY Public School ASC Center,5tz,12.96467,77.61808
ASC Centre,327,12.96245,77.61906
ASC Centre,lj,12.96224,77.61901
Aane Kempegowdana Doddy,3d1,12.86158,77.33503
Aane Kempegowdana Doddy,vn,12.86152,77.33503
Abbaiah Circle Sarjapura,2zh,12.85976,77.79411
Abbaiah Circle Sarjapura,4cd,12.85974,77.79402
Abbaiah Layout,3xd,12.97933,77.68082
Abbanakuppe,12k,12.77419,77.4095
Abbanakuppe,571,12.77413,77.40941
Abbanakuppe Colony,3y4,12.77123,77.41632
Abbanakuppe KEB,3uy,12.78762,77.42868
Abbigere,10c,13.07696,77.52587
Abbigere,4b1,13.07692,77.52589
Abbigere Cross,1es,13.07069,77.52976
Abbigere Cross,2er,13.07068,77.52974
Abbigere Dinne,2hb,13.07106,77.52803
Abbigere Dinne,3v9,13.07099,77.52801
Abbigere Gate,12x,13.07248,77.52353
Abbigere Gate,5lw,13.07243,77.52355
Acharya College,1q7,13.00234,77.48822
Acharya College,45a,13.00238,77.48823
Acharya Institute of Technology,1hi,13.08351,77.48416
Acharya Institute of Technology,3d,13.08353,77.48411
Achyuthanagara Gate,42s,13.08423,77.48656
Achyuthanagara Gate,5co,13.08418,77.48655
Active Public School Hommadevanahalli,1kk,12.8402,77.59467
Adakamaranahalli (Magadi Road),3bb,12.94713,77.31054
Adakamaranahalli Cross (Magadi Road),15k,12.95438,77.30922
Adakamaranahalli Cross (Magadi Road),5d2,12.95436,77.30902
Adakimaranahalli,5zk,13.07065,77.4449
Adakimaranahalli,6dl,13.07028,77.44482
Adarshanagara,1sv,13.07619,77.42374
Adarshanagara,3rc,13.07621,77.42378
Adde Vishwanathapura,21z,13.18672,77.55112
Adde Vishwanathapura,2rv,13.18669,77.5511
Addiganahalli,4x8,13.17297,77.56943
Addiganahalli,58i,13.17295,77.56959
Addiganahalli Extension,4g7,13.1728,77.57126
Addiganahalli Extension 1,4bc,13.17288,77.57123
Adigara Kallahalli,4wi,12.82534,77.8033
Adigondanahalli,1kx,12.81457,77.75116
Adishwara Bombay Dying,do,13.02126,77.55609
Aditya Bakery,1xf,12.90351,77.51076
Aditya Bakery,67d,12.9035,77.51067
Ado Sonnahatti,1a4,12.77796,77.71546
Adrsha Savana,3ct,13.20859,77.60381
Adugodi,16v,12.94387,77.6077
Adugodi,333,12.94397,77.60748
Adugodi,35d,12.94384,77.60761
Adugodi Police Station,1xz,12.93897,77.60976
Adugodi Police Station,3r2,12.93985,77.6095
Aduru,3pj,12.73303,77.65433
Aduru,4ad,13.05542,77.70589
Aduru,dl,13.05552,77.70576
