route_id,service_id,trip_headsign,direction_id,shape_id,trip_id
1,1,Depot-43 Gate,1,11p,mg1
10,1,CS-Sanjayanagara Vybhava Talkies,1,k0,bgn
100,1,Nagavarapalya,0,1e4,8hq
101,1,Kempegowda Bus Station,1,2a5,1n6
101,1,Kempegowda Bus Station,1,2a5,52f
101,1,Kempegowda Bus Station,1,2a5,dgl
101,1,Kempegowda Bus Station,1,2a5,i6u
101,1,Kempegowda Bus Station,1,2a5,k2c
102,1,CS-Vidyaranyapura,1,1iz,own
103,1,Puttenahalli,1,2ch,3ag
103,1,Puttenahalli,1,2ch,8wa
104,1,Kengeri Bus Station,1,1mi,603
104,1,Kengeri Bus Station,1,1mi,drl
105,1,Guruvanahalli,0,2jl,43l
105,1,Guruvanahalli,0,2jl,oe3
106,1,Ullala Satelite Town,0,2ms,c42
107,1,Depot-19 Electronic City,1,2dp,5if
107,1,Depot-19 Electronic City,1,2dp,6ux
107,1,Depot-19 Electronic City,1,2dp,81i
107,1,Depot-19 Electronic City,1,2dp,c78
107,1,Depot-19 Electronic City,1,2dp,dpt
107,1,Depot-19 Electronic City,1,2dp,jy8
108,1,Poornaprajna Layout,1,32v,3s
108,1,Poornaprajna Layout,1,32v,oze
109,1,CS-Depot-10 Gate,0,1bg,6y9
109,1,CS-Depot-10 Gate,0,1bg,jj6
10a,1,Puttenahalli,0,19i,18v
10a,1,Puttenahalli,0,19i,94g
10a,1,Puttenahalli,0,19i,o46
10b,1,Machonayakanahalli,0,1vd,fvw
10c,1,Anjanapura 10th Block,0,1xk,2pu
10c,1,Anjanapura 10th Block,0,1xk,2ti
10c,1,Anjanapura 10th Block,0,1xk,8fo
10c,1,Anjanapura 10th Block,0,1xk,q3e
10d,1,Ullala Satelite Town,0,23o,14g
10d,1,Ullala Satelite Town,0,23o,1ee
10d,1,Ullala Satelite Town,0,23o,1ih
10d,1,Ullala Satelite Town,0,23o,27g
10d,1,Ullala Satelite Town,0,23o,2hr
10d,1,Ullala Satelite Town,0,23o,2zt
10d,1,Ullala Satelite Town,0,23o,4lw
10d,1,Ullala Satelite Town,0,23o,5j5
10d,1,Ullala Satelite Town,0,23o,62f
10d,1,Ullala Satelite Town,0,23o,63z
10d,1,Ullala Satelite Town,0,23o,6ah
10d,1,Ullala Satelite Town,0,23o,6h9
10d,1,Ullala Satelite Town,0,23o,6j2
10d,1,Ullala Satelite Town,0,23o,7se
10d,1,Ullala Satelite Town,0,23o,820
10d,1,Ullala Satelite Town,0,23o,86o
10d,1,Ullala Satelite Town,0,23o,8pj
10d,1,Ullala Satelite Town,0,23o,9nm
10d,1,Ullala Satelite Town,0,23o,ad8
10d,1,Ullala Satelite Town,0,23o,b4o
10d,1,Ullala Satelite Town,0,23o,bc2
10d,1,Ullala Satelite Town,0,23o,bfq
10d,1,Ullala Satelite Town,0,23o,bzb
10d,1,Ullala Satelite Town,0,23o,cep
10d,1,Ullala Satelite Town,0,23o,cmm
10d,1,Ullala Satelite Town,0,23o,csj
10d,1,Ullala Satelite Town,0,23o,dqr
10d,1,Ullala Satelite Town,0,23o,e6q
10d,1,Ullala Satelite Town,0,23o,ef5
10d,1,Ullala Satelite Town,0,23o,fhy
10d,1,Ullala Satelite Town,0,23o,g5p
